active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
0 1 5 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00350871,0.00350871,-19.197965,-1.530e-10,False,0.00350865,-19.337937,False
0 1 4 5 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00290083,0.00085234,-22.707795,2.048e-03,True,,,False
0 2 3 4 5 6 7 8 10,"O-M:2,O-B:3,O-N:3,O-A:1",0.00703981,0.00005016,-26.714898,6.990e-03,False,0.00599169,-18.297955,False
0 1 4 5 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
0 2 3 4 5 6 7 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00217208,0.00001667,-25.744613,2.155e-03,False,0.00216529,-19.971071,False
0 1 4 5 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00473283,0.00024338,-22.213849,4.489e-03,True,,,False
0 1 4 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00307479,0.00194691,-18.801828,1.128e-03,True,,,False
0 2 3 4 5 6 7 8 11,"O-M:2,O-B:3,O-N:3,O-A:1",0.00437595,0.00015589,-25.948309,4.220e-03,False,0.00412671,-23.272992,False
0 2 3 4 5 6 7 8 9,"O-M:2,O-B:3,O-N:3,O-A:1",0.00234980,0.00003195,-27.714087,2.318e-03,True,,,False
0 2 3 4 5 6 7 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00232878,0.00001272,-28.699530,2.316e-03,False,0.00232580,-22.536630,False
0 2 3 4 5 6 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00118955,0.00001674,-29.339540,1.173e-03,False,0.00118955,-20.896166,False
0 2 3 4 5 7 8 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00575311,0.00129353,-19.250988,4.460e-03,False,0.00347661,-21.073353,False
0 2 3 4 5 7 8 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00381880,0.00070837,-20.242784,3.110e-03,False,0.00161280,-26.263868,False
0 2 3 4 5 7 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00220145,0.00155934,-20.039582,6.421e-04,False,0.00220145,-15.539747,False
0 2 3 4 5 6 7 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00253876,0.00012410,-23.431466,2.415e-03,True,,,False
0 2 3 4 5 8 9 10 11,"O-M:2,O-B:3,O-N:1,O-A:3",0.00422170,0.00320642,-21.586251,1.015e-03,False,0.00422170,-18.036516,False
0 2 3 4 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00387321,0.00387321,-15.090860,-5.304e-11,False,0.00387321,-15.020361,False
0 2 3 4 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00731160,0.00731161,-18.446097,-1.089e-09,False,0.00731138,-18.253199,False
0 2 3 4 5 6 8 9 10,"O-M:2,O-B:3,O-N:2,O-A:2",0.00528254,0.00004158,-24.060956,5.241e-03,True,,,False
0 2 3 4 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00217207,0.00001679,-25.729590,2.155e-03,False,0.00216470,-20.704977,False
