active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
0 1 2 3 4 5 7 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.00254563,0.00254564,-16.346492,-1.435e-09,False,0.00254540,-16.289549,False
0 1 2 3 4 5 6 8 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.00387061,0.00039589,-30.540647,3.475e-03,False,0.00386918,-26.144951,False
0 1 2 3 4 5 6 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00190960,0.00190960,-24.841252,-1.345e-10,True,,,False
0 1 2 3 4 5 9 10 11,"O-M:3,O-B:3,O-N:0,O-A:3",0.00472322,0.00472322,-16.620955,-2.482e-10,False,0.00472322,-16.614542,False
0 1 2 3 4 5 7 8 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.00671830,0.00318777,-22.089041,3.531e-03,False,0.00627978,-18.985635,False
0 1 2 3 4 5 8 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00483108,0.00056277,-24.500905,4.268e-03,False,0.00482708,-21.701118,False
0 1 2 3 4 6 7 8 9,"O-M:3,O-B:2,O-N:3,O-A:1",0.00270027,0.00270027,-19.325575,-4.970e-10,False,0.00270013,-19.323916,False
0 1 2 3 4 5 7 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00330964,0.00133593,-23.569361,1.974e-03,True,,,False
0 1 2 3 4 6 7 8 11,"O-M:3,O-B:2,O-N:3,O-A:1",0.00641730,0.00641730,-18.221592,-3.937e-10,False,0.00641725,-18.207826,False
0 1 2 3 4 5 7 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00452128,0.00452129,-23.242281,-1.424e-09,True,,,False
0 1 2 3 4 6 7 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00133679,0.00133679,-20.242088,-1.529e-09,False,0.00133666,-20.210107,False
0 1 2 3 4 5 8 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.00347042,0.00347042,-25.309712,-3.160e-10,False,0.00346963,-24.385198,False
0 1 2 3 4 6 7 8 10,"O-M:3,O-B:2,O-N:3,O-A:1",0.00635631,0.00635631,-18.161289,-4.821e-10,False,0.00635623,-18.197404,False
0 1 2 3 4 6 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00403842,0.00403842,-15.438630,-8.621e-11,False,0.00403842,-15.344500,False
0 1 2 3 4 6 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00074193,0.00074193,-19.587286,-6.332e-10,False,0.00074181,-19.542465,False
0 1 2 3 4 6 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00680025,0.00196865,-19.759179,4.832e-03,False,0.00679295,-17.612785,False
0 1 2 3 4 6 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00726355,0.00054599,-25.924703,6.718e-03,False,0.00419229,-18.419289,False
0 1 2 3 4 6 7 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00285800,0.00173532,-19.499192,1.123e-03,False,0.00283739,-18.745610,False
0 1 2 3 4 7 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00254564,0.00254564,-16.349655,-1.151e-09,False,0.00254558,-16.368720,False
0 1 2 3 4 7 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00653792,0.00597907,-14.597163,5.588e-04,False,0.00611584,-16.532435,False
0 1 2 3 5 6 7 8 9,"O-M:3,O-B:2,O-N:3,O-A:1",0.00348119,0.00348008,-24.379664,1.114e-06,False,0.00348078,-24.331871,False
0 1 2 3 4 6 7 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
0 1 2 3 4 8 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00311259,0.00311259,-17.502332,-2.630e-10,False,0.00311248,-17.476451,False
0 1 2 3 4 7 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00918303,0.00031675,-22.327806,8.866e-03,False,0.00865652,-15.890176,False
0 1 2 3 4 7 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00705100,0.00010180,-22.480625,6.949e-03,False,0.00421898,-17.320375,False
0 1 2 3 5 6 7 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00133679,0.00133679,-20.239145,-1.355e-09,False,0.00133671,-19.480268,False
0 1 2 3 5 6 7 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00331365,0.00331365,-18.194938,-5.531e-11,False,0.00331365,-17.370217,False
0 1 2 3 5 6 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.01013217,0.00158268,-25.128790,8.549e-03,False,0.00713858,-18.459846,False
0 1 2 3 5 6 7 8 11,"O-M:3,O-B:2,O-N:3,O-A:1",0.00927063,0.00870263,-20.669946,5.680e-04,False,0.00925856,-20.005891,False
0 1 2 3 5 7 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00705100,0.00010224,-22.476420,6.949e-03,False,0.00421912,-17.932673,False
0 1 2 3 5 6 7 8 10,"O-M:3,O-B:2,O-N:3,O-A:1",0.00733598,0.00232984,-23.127866,5.006e-03,True,,,False
0 1 2 3 5 7 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00936469,0.00289801,-17.715322,6.467e-03,False,0.00293783,-18.497162,False
0 1 2 3 5 6 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.01034904,0.00349986,-19.878156,6.849e-03,False,0.00905762,-20.406857,False
0 1 2 3 5 6 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00190960,0.00190960,-24.841079,-1.359e-10,False,0.00190922,-24.449050,False
0 1 2 3 5 6 7 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00381915,0.00000082,-31.142525,3.818e-03,True,,,False
0 1 2 3 5 6 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00680025,0.00196846,-19.759289,4.832e-03,False,0.00679354,-17.668278,False
0 1 2 3 5 8 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00483108,0.00056858,-24.490248,4.262e-03,False,0.00482649,-21.998706,False
0 1 2 3 6 7 8 9 10,"O-M:3,O-B:1,O-N:3,O-A:2",0.00270027,0.00270027,-19.323981,-1.525e-09,False,0.00270014,-19.304199,False
0 1 2 3 6 7 8 10 11,"O-M:3,O-B:1,O-N:3,O-A:2",0.00672829,0.00672829,-20.521455,-1.674e-10,False,0.00672440,-20.626003,False
0 1 2 3 6 7 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00148065,0.00099455,-24.755269,4.861e-04,False,0.00147974,-22.718351,False
0 1 2 3 5 7 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00983155,0.00288809,-22.391377,6.943e-03,True,,,False
0 1 2 3 5 7 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00330964,0.00133262,-23.572477,1.977e-03,False,0.00330721,-22.452461,False
0 1 2 3 6 8 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00387061,0.00039388,-30.551041,3.477e-03,False,0.00386796,-26.006662,False
0 1 2 3 7 8 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00671831,0.00318780,-22.088970,3.531e-03,False,0.00627806,-20.122405,False
0 1 2 4 5 6 7 8 11,"O-M:3,O-B:2,O-N:3,O-A:1",0.00720562,0.00648112,-23.208028,7.245e-04,False,0.00690930,-18.330216,False
0 1 2 3 6 7 8 9 11,"O-M:3,O-B:1,O-N:3,O-A:2",0.00348119,0.00348082,-24.380096,3.662e-07,True,,,False
0 1 2 4 5 6 7 8 9,"O-M:3,O-B:2,O-N:3,O-A:1",0.00672829,0.00672829,-20.521460,-1.608e-10,True,,,False
0 1 2 4 5 6 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00966211,0.00269504,-17.713794,6.967e-03,False,0.00293866,-21.935893,False
0 1 2 4 5 6 7 8 10,"O-M:3,O-B:2,O-N:3,O-A:1",0.00931145,0.00508613,-19.415125,4.225e-03,False,0.00839564,-17.686191,False
0 1 2 4 5 6 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00475588,0.00051634,-24.318259,4.240e-03,False,0.00475244,-21.060097,False
0 1 2 4 5 6 7 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00285801,0.00173659,-19.496191,1.121e-03,True,,,False
0 1 2 4 5 7 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00983154,0.00288869,-22.391937,6.943e-03,False,0.00719114,-16.560396,False
0 1 2 4 5 6 7 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00381916,0.00000083,-31.137648,3.818e-03,True,,,False
0 1 2 4 5 6 7 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.00463151,0.00318274,-16.278881,1.449e-03,True,,,False
0 1 2 4 5 6 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00726355,0.00054582,-25.925140,6.718e-03,True,,,False
0 1 2 4 5 6 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.01013217,0.00158268,-25.128689,8.549e-03,True,,,False
0 1 2 4 5 8 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00347042,0.00347042,-25.304098,-7.194e-11,False,0.00346886,-24.897364,False
0 1 2 4 6 7 8 9 10,"O-M:3,O-B:1,O-N:3,O-A:2",0.00635631,0.00635631,-18.157999,-1.696e-10,False,0.00635616,-18.102352,False
0 1 2 4 6 7 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00301005,0.00301005,-19.004098,-1.301e-10,False,0.00300996,-19.904792,False
0 1 2 4 6 8 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00750805,0.00479290,-19.210108,2.715e-03,False,0.00598134,-16.978296,False
0 1 2 4 6 7 8 10 11,"O-M:3,O-B:1,O-N:3,O-A:2",0.00931145,0.00508609,-19.415176,4.225e-03,False,0.00839614,-17.691759,False
0 1 2 4 7 8 9 10 11,"O-M:3,O-B:1,O-N:2,O-A:3",0.00957131,0.00483991,-17.302683,4.731e-03,False,0.00595111,-16.214119,False
0 1 2 4 5 7 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.00918303,0.00031210,-22.344933,8.871e-03,True,,,False
0 1 2 4 5 7 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.00452128,0.00452129,-23.247212,-1.141e-09,False,0.00452105,-22.148509,False
0 1 2 5 6 7 8 9 10,"O-M:3,O-B:1,O-N:3,O-A:2",0.00641730,0.00641730,-18.224340,-1.260e-09,False,0.00641716,-18.507359,False
